,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
64,Frank,Julian,Sprague,Father,Electric,Traction,Naval,Academy,Milford,Connecticut,David,Cummings,Frances,Julia,King,York,Drury,High,School,North,Adams,Massachusetts,Springfield,West,Point,four,United,States,Annapolis,Maryland,Career,Navy,Richmond,Minnesota,Asia,Boston,Herald,Newport,Rhode,Island,Lancaster,European,Squadron,International,Exposition,Electricity,Paris,Crystal,,
65,American,West,mainland,North,America,President,Thomas,Jefferson,Louisiana,Purchase,Manifest,Destiny,Frontier,Thesis,United,States,Civil,Census,Bureau,1890.By,Frederick,Jackson,Turner,Mississippi,River,Midwest,Texas,Great,Plains,Rocky,Mountains,Southwest,Coast,Enormous,Western,1850s,1910s,Hine,Faragher,Americans,Europeans,David,Murdoch,U.S.,East,1600s,Maine,Vermont,,
66,Francis,Marion,Crawford,Italy,Bagni,Lucca,Grand,Duchy,Tuscany,August,American,Thomas,Louisa,Cutler,Ward,Mary,Fraser,Julia,Howe,Luther,Terry,Margaret,Winthrop,Astor,Chanler.He,Paul,School,Concord,Hampshire,Cambridge,University,Heidelberg,Rome.In,India,Sanskrit,Allahabad,Herald,America,February,Harvard,Critic,Isabella,Stewart,Boston,Schubert,January,George,Henschel,,
67,June,Krak,Poland,Battle,Gulf,Naples,Lauria,King,Peter,Aragon,Neapolitan,Charles,Salerno,Worringen,Limburg,Succession,John,Duke,Brabant,Tethys,Festival,Whitehall,Palace,Henry,Frederick,Prince,Wales,Qing,Manchu,Shunzhi,Emperor,Beijing,Ming,Ross,United,Irish,Rebellion,Munster,Great,Lakes,Frontenac,Pickle,Voladora,Cuba,Paris,Louis,,,,
68,First,Council,Nicaea,Christian,Church,Empress,Ariadne,Anastasius,Augusta,Byzantine,Zeno,Battle,Nechtain,King,Bridei,Northumbrians,Ecgfrith,Sutton,Walls,East,Anglia,Lincoln,England,Prince,Louis,France,William,Marshal,Earl,Pembroke,Sancho,Castile,Estudio,Escuelas,Generales,Alcal,Henares,Mohnyin,Thado,Alfarrobeira,House,Braganza,Portugal,John,Cabot,Bristol,,,,
69,John,Pierpont,Morgan,Wall,Street,Gilded,J.P.,United,States,19th,U.S.,Steel,International,Harvester,General,Electric,Aetna,Western,Union,Pullman,Company,Panic,American,Progressive,Wooldridge,America,Rome,Italy,Biographer,Chernow,million,Childhood,Hartford,Connecticut,Junius,Spencer,Juliet,Public,School,Episcopal,Academy,Cheshire,September,,,,,,,
70,World,July,November,Great,Europe,Russian,Empire,United,States,Ottoman,Middle,East,Africa,Asia,million,European,Triple,Entente,France,Russia,Britain,Alliance,Germany,Austria,Hungary,Italy,Balkans,June,Archduke,Franz,Ferdinand,Austro,Hungarian,Gavrilo,Princip,Serb,Serbia,Crisis,August,Central,Powers,April,Allies,Eastern,,,,,,
71,December,Vatican,Charlemagne,Pope,Henry,England,Paris,King,Charles,France,Courtiers,Christopher,Hatton,Thomas,Heneage,Queen,Elizabeth,Iberian,Union,Portugal,Spain,Philippine,Dynasty,Diarist,John,Evelyn,James,Park,London,Catherine,Fredensborg,Trom,Norway,Dominican,Republic,Haiti,Pedro,Emperor,Brazil,United,States,House,Representatives,Twelfth,Amendment,Constitution,Argentine,Juan,,
72,Maribor,Slovenia,Lower,Styria,City,Municipality,Drava,Eastern,Slovene,Habsburg,Rudolf,Maister,State,Slovenes,Croats,Serbs,Kingdom,Serbia,Yugoslavia,Portuguese,Guimar,Culture,Marpurch,Middle,High,Marburg,Drau,.The,Slovenized,Stanko,Vraz,Illyrianism,Brandenburg,Locally,Marprk,Marprog,Lovro,Toman,German,Marburgum,Latin,Marburgo,History,Prehistory,Chalcolithic,44th,42nd,Spodnje,Melje,
73,October,Heraclius,Constantinople,Byzantine,Emperor,Phocas,King,Louis,Pious,Holy,Roman,Empire,Pope,Fourth,Council,Photios,Treaty,Zamora,Alfonso,Castile,Portugal,Kingdom,Duke,Bavaria,Assassins,Venetian,Paolo,Sarpi,Revolution,Women,March,Versailles,Army,Northwest,Detroit,Killough,Texas,Saxby,Gale,Fundy,Canada,Eastman,Minnesota,United,States,Anthony,Falls,,,
74,July,Constantine,Roman,Arch,Colosseum,Rome,Maxentius,Bridge,Climax,Siege,Thessalonica,Slavs,three,Edict,Pistres,Charles,Bald,Vikings,Eleanor,Aquitaine,Prince,Louis,France,Cathedral,Saint,Andr,Bordeaux,Battle,Ourique,Almoravids,Yusuf,Afonso,Henriques,King,Portugal,Constantinople,Alexios,Strategopoulos,Byzantine,Empire,Algeciras,Reconquista,Emirate,Granada,Maranid,Dynasty,Kingdom,Castile,Molinella,
75,James,Naismith,Christian,United,States,University,Kansas,Olympic,Summer,Olympics,Berlin,National,Invitation,Tournament,NCAA,Born,Almonte,Ontario,McGill,Montreal,Springfield,Massachusetts,International,YMCA,Training,School,Seven,Denver,Jayhawks,Phog,Allen,Adolph,Rupp,Dean,Smith,November,Province,Bennies,Corners,High,1883.In,Wicksteed,College,Amos,Alonzo,Stagg,Madison,Square,Garden,Physical
76,Yisrael,Ze'ev,Wolf,Lipkin,Israel,Salanter,Yisroel,Musar,Orthodox,Judaism,Rosh,Talmudist,Salant,Rabbi,Yosef,Zundel,Lipman,Biography,Zagare,Lithuania,November,Beth,Goldingen,Telz,Leah,Tzvi,Hirsh,Braude,Salant.After,Esther,Fega,Eisenstein,Yenta,Yaakov,HaLevi,Hirsch,Broda,Chaim,Volozhin,Alexander,Moshe,Lapidos,Torah,Meile,Vilna,Zarechya,three,,,
77,Florida,Southeastern,United,States,Gulf,Mexico,Alabama,Georgia,Bahamas,Atlantic,Ocean,Straits,Cuba,"65,758",22nd,million,Tallahassee,Jacksonville,Miami,Tampa,Orlando,Various,"14,000",Juan,Ponce,U.S.,Augustine,Spain,Great,Britain,27th,March,Seminole,Wars,Union,January,seven,Confederate,Civil,June,trillion,16th,Walt,Disney,World,,,,,
78,Prime,Minister,Empire,Vietnam,Imperial,Japan,Vichy,French,World,Diem,Nghi,Province,Indochina,Annam,Phan,Hanoi,Ninh,Tonkin,France,Coloniale,Normale,Melun,September,Academia,Romanized,Vietnamese,Confucianism,Buddhism,China,Confucian,2009.His,Buddhist,Chamber,People,Representatives,Legion,Honour,Second,Asia,Greater,East,Prosperity,Sphere,Nazi,,,,,,
79,Johannesburg,Jozi,Joburg,City,Gold,South,Africa,Demographia,Pretoria,26th,"14,167,000",Gauteng,Constitutional,Court,Witwatersrand,"100,000",1970s,Soweto,Western,Townships,White,Lenasia,English,Africans,FIFA,World,Globalization,Cities,Research,Network,"5,635,127","8,000,000",Land,"2,364",Etymology,Controversy,Johannes,Hendrik,Dercksen,Christiaan,Joubert,Volksraad,Republic,Stephanus,Paulus,Kruger,African,Meyer,,
80,Century,Magazine,United,States,Company,York,City,Roswell,Smith,Association,Scribner,Monthly,Forum,Josiah,Holland,Richard,Watson,Gilder,American,Civil,three,1880s,Times,London,Mark,Twain,Adventures,Huckleberry,Finn,Henry,James,Bostonians.Upon,Robert,Underwood,Johnson,Arthur,John,Glenn,Frank,"20,000",1887.The,Crowninshield,Philosophy,Christian,Religion,Novelist,Evangelical,Protestantism,,
81,Alexander,Graham,Bell,Telephone,Mechanical,Robert,Hooke,Chimu,Peru,Smithsonian,Museum,AD.For,1800s,Pulsion,Supply,Company,Lemuel,Mellett,Massachusetts,Francisco,Salva,Campillo,English,Francis,Ronalds,Baron,Schilling,Carl,Friedrich,Gauss,Wilhelm,Weber,University,Gottingen,Institute,eight,William,Fothergill,Cooke,Great,Railway,England,Paddington,West,Drayton,April,United,States,,
82,George,Nathaniel,Curzon,Marquess,Kedleston,Lord,Earl,Conservative,Viceroy,India,First,World,Leader,House,Lords,December,Cabinet,Prime,Minister,David,Lloyd,Policy,Committee,Secretary,State,Foreign,Affairs,Office,Bonar,Stanley,Baldwin,Alfred,Baron,Scarsdale,Rector,Derbyshire,Blanche,Joseph,Pocklington,Senhouse,Netherhall,Cumberland,Hall,Norman,Asia,Ellen,,,,
83,Joseph,Chamberlain,Liberal,Ireland,Unionist,Conservatives,Nobel,Peace,Prize,Austen,Prime,Minister,Neville,Birmingham,Party,Elementary,Education,Church,England,House,Commons,President,Board,Trade,Gladstone,Government,Lord,Salisbury,Programme,three,Irish,Home,Rule,Conservative,Workmen,Compensation,Secretary,State,Colonies,Asia,Africa,West,Indies,Boer,South,Khaki,Election,Cabinet,,
84,December,Banquet,King,Birger,Sweden,Valdemar,Duke,Finland,Eric,Castle,League,Cambrai,Pope,Julius,Louis,France,Maximilian,Holy,Roman,Emperor,Ferdinand,Aragon,Venice,Martin,Luther,Exsurge,Domine,Wittenberg,Elster,Gate,Thomas,Culpeper,Francis,Dereham,Catherine,Howard,Queen,England,Henry,VIII,Defeat,Battle,Dungeness,Commonwealth,Royal,Netherlands,Marine,Corps,,
85,June,Emperor,Julian,Tigris,Roman,Persians,Yazdegerd,Persian,Empire,King,Ming,Battle,Stoke,Field,Henry,England,Wars,Roses,Mary,Queen,Scots,Philip,Spain,William,Pepperrell,Fortress,Louisbourg,France,Austria,Sardinia,Franco,Piacenza,Fort,Beaus,Acadians,Robert,Rogers,Rangers,Sainte,Richelieu,River,Lake,Champlain,Kingdom,Great,Britain,Siege,,,
86,June,Krak,Poland,Battle,Gulf,Naples,Lauria,King,Peter,Aragon,Neapolitan,Charles,Salerno,Worringen,Limburg,Succession,John,Duke,Brabant,Tethys,Festival,Whitehall,Palace,Henry,Frederick,Prince,Wales,Qing,Manchu,Shunzhi,Emperor,Beijing,Ming,Ross,United,Irish,Rebellion,Munster,Great,Lakes,Frontenac,Pickle,Voladora,Cuba,Paris,Louis,,,,
87,John,Ernst,Worrell,Keely,Philadelphia,Motor,Company,Jacob,Astor,Biography,Born,Chester,Pennsylvania,North,Twentieth,Street,York,"5,000,000",million,Vaporic,four,June,Luminiferous,Etheric,November,five,"10,000",England,"50,000",Times,"30,000.Keely","2,000",Clara,Jessup,Bloomfield,Moore,"100,000",December,Directors,Stockholder,January,Court,Common,Pleas,,,,,,
88,Pittsburgh,Commonwealth,Pennsylvania,Allegheny,County,Philadelphia,68th,U.S.,"302,971",2020,2.37,million,Ohio,Valley,Appalachia,27th,Castle,Weirton,West,Virginia,River,Monongahela,Steel,City,Bridges,Point,State,Park,Atlantic,Midwest,Mountains,Virginians,Whiskey,Rebels,Civil,York,Chicago,1970s,1980s,"675,000","370,000",University,Medical,Center,Carnegie,Mellon,Numerous,,,
89,October,National,Aeronautics,Space,Administration,NASA,Advisory,Committee,United,States,Morocco,Arab,League,China,Shanghai,Television,L'Union,Prime,Minister,Charles,Gaulle,Social,Republicans,November,India,Imperial,Nigeria,Airways,Corporation,Boeing,Stratocruiser,Lagos,London,Douglas,Dakar,Senegal,Mark,Bathum,American,Alpine,Seattle,Lieutenant,General,Dick,Stenberg,Chief,Swedish,Force,Falun,Died
90,July,Twelve,Scillium,North,Africa,Christians,Christianity,Damasus,Fourth,Crusade,Constantinople,Byzantine,Alexios,Angelos,Yongle,Emperor,Ming,China,Hundred,Years,Charles,France,King,Reims,Cathedral,Joan,Battle,Castillon,Jean,Bureau,English,Earl,Shrewsbury,Gascony,George,Great,Britain,River,Thames,Frideric,Handel,Water,Music,Former,Peter,Russia,,,,
91,October,Heraclius,Constantinople,Byzantine,Emperor,Phocas,King,Louis,Pious,Holy,Roman,Empire,Pope,Fourth,Council,Photios,Treaty,Zamora,Alfonso,Castile,Portugal,Kingdom,Duke,Bavaria,Assassins,Venetian,Paolo,Sarpi,Revolution,Women,March,Versailles,Army,Northwest,Detroit,Killough,Texas,Saxby,Gale,Fundy,Canada,Eastman,Minnesota,United,States,Anthony,Falls,,,
92,Edward,William,Elgar,Baronet,June,February,English,Enigma,Variations,Pomp,Circumstance,Marches,Gerontius,Master,King,Musick,England,Europe,Protestant,Britain,Catholicism,Army,Dream,Roman,Catholic,Anglican,Biography,Lower,Broadheath,Worcester,Henry,Dover,London,Greening,seven,George,Church,Cherubini,Hummel,Three,Choirs,Festival,eight,Worcestershire,Billy,Reed,Wand,,,
93,1890s,1880s,Thomas,Edison,George,Westinghouse,Electric,Light,Company,June,Harold,Brown,York,Both,Thomson,Houston,City,General,three,World,Niagara,Falls,Brush,December,Broadway,"3,500",Illuminating,United,States,Europe,Alternating,Guillaume,Duchenne,Gramme,Ganz,Works,Ziani,Ferranti,Lucien,Gaulard,Galileo,Ferraris,Pavel,Yablochkov,John,Dixon,Gibbs,Z.B.D,,
94,February,Mongol,Baghdad,Mongols,Islamic,Golden,Greyfriars,Church,Dumfries,Robert,Bruce,John,Comyn,Wars,Independence,Scholastica,Oxford,England,Vasco,Gama,Lisbon,Portugal,India,Lord,Darnley,Mary,Queen,Scots,Kirk,Field,Edinburgh,Scotland,Huilliches,Chilo,Treaty,Paris,France,Quebec,Great,Britain,Battle,Champaubert,Russians,Prussians,Victoria,United,Kingdom,,,
95,Abdelkader,Muhieddine,Emir,Hassani,Djazairi,Algiers,Islamic,Sufi,Europe,Christian,Damascus,Algeria,Jugurtha,Saint,Princes,Prince,Saints,Kader,Abdul,Guetna,Mascara,September,Hasani,Qadiriyya,Muhammad,Idrisid,Oued,Hammam,five,Qur'an,Oran,Hajj,Mecca,Imam,Shamil,Baghdad,Muslims,Arabi,Qadir,Gilani,Egypt,July,Monarchy,France,Ottoman,,,,,
96,First,Council,Nicaea,Christian,Church,Empress,Ariadne,Anastasius,Augusta,Byzantine,Zeno,Battle,Nechtain,King,Bridei,Northumbrians,Ecgfrith,Sutton,Walls,East,Anglia,Lincoln,England,Prince,Louis,France,William,Marshal,Earl,Pembroke,Sancho,Castile,Estudio,Escuelas,Generales,Alcal,Henares,Mohnyin,Thado,Alfarrobeira,House,Braganza,Portugal,John,Cabot,Bristol,,,,
97,Monday,Saturday,Julian,1883rd,Common,Anno,Domini,883rd,83rd,1880s,January,March,Life,Angeles,California,United,States,Newhall,Hotel,Milwaukee,Wisconsin,Pendleton,Civil,Service,Reform,Roselle,Jersey,Thomas,Edison,February,Adventures,Pinocchio,Carlo,Collodi,Italy,Tokyo,Electrical,Lightning,Grid,Power,Asia,Japan,Ladies,Home,,,,,,
98,Shotguns,First,World,Winchester,Model,1897s,Design,Action,Break,three,four,Pump,Well,Remington,Mossberg,Tube,U.S.,Home,Lever,M1887,John,Browning,Repeating,Arms,Company,9410,Australia,Bolt,Rifle,Factory,Ishapore,India,.410,SMLE,Berdana,Turkish,Pardus,BA12,Dickinson,T1000,Competition,Revolver,,,,,,,,
99,Manhattan,five,York,City,County,U.S.,State,Time,Zone,Northeast,United,Nations,Island,Hudson,East,Harlem,Roosevelt,Thant,Randalls,Wards,Islands,Marble,Hill,Ship,Canal,Bronx,three,Midtown,Upper,Wall,Street,Financial,District,Lower,Stock,Exchange,Nasdaq,trillion,"1,600",Fifth,Avenue,"3,000",2022,"5,000.00",Dutch,Republic,Amsterdam,English,,
